^IXIC,
ASFI,125250000.0
ASTE,1190000000.0
ALOT,108830000.0
ATRO,918980000.0
ASTC,32570000.0
ASUR,31330000.0
ATAI,111260000.0
ATRA,484050000.0
ATHN,4830000000.0
ATHX,188130000.0
AAPC,35080000.0
AAME,67790000.0
ACBI,345140000.0
ACFC,97260000.0
ATNI,1160000000.0
ATLC,43050000.0
AAWW,1090000000.0
AFH,210520000.0
TEAM,4840000000.0
ATOS,10190000.0
ATRC,468280000.0
ATRI,724090000.0
ATTU,132410000.0
LIFE,74610000.0
AUBN,105650000.0
AUDC,141260000.0
AUPH,80070000.0
EARS,112260000.0
ABTL,144690000.0
AAVL,
AVNU,201800000.0
AVEO,51200000.0
AVXS,888530000.0
AVNW,36610000.0
AVID,222770000.0
AVGR,143940000.0
CAR,2590000000.0
AWRE,94500000.0
ACLS,281550000.0
AXGN,163960000.0
AXSM,197230000.0
AXTI,103040000.0
BCOM,822020000.0
RILY,163000000.0
BOSC,4810000.0
BEAV,4760000000.0
BCPC,1810000000.0
BWINA,354330000.0
BWINB,358710000.0
BLDP,211800000.0
BANF,946130000.0
BANFP,
BKMU,353930000.0
BOCH,83740000.0
BMRC,297510000.0
BKSC,77370000.0
BOTJ,52490000.0
OZRK,3420000000.0
BFIN,244990000.0
BWFG,160040000.0
BANR,1500000000.0
BZUN,283690000.0
BHAC,18340000.0
BBSI,202200000.0
BSET,295830000.0
BYBK,54000000.0
BYLK,
BV,287890000.0
BBCN,1250000000.0
BCBP,115020000.0
BECN,2520000000.0
BSF,338420000.0
BBGI,103750000.0
BEBE,28800000.0
BGNE,608880000.0
BELFA,174770000.0
BELFB,203600000.0
BLPH,16980000.0
BLCM,274160000.0
BNCL,1040000000.0
BNFT,1030000000.0
BNTC,12090000.0
BGCP,2440000000.0
BGFV,186350000.0
BIND,8570000.0
ORPN,25330000.0
BASI,7540000.0
BIOC,13710000.0
BCRX,244660000.0
BIOD,25020000.0
BDSI,104510000.0
BIOL,65830000.0
BLFS,18300000.0
BOLT,
BLRX,49990000.0
BVXV,11820000.0
BPTH,239660000.0
BIOS,170570000.0
